item_id,claim_index,reason,label,first_says,second_says,human_decision,note
B1-MH-0255b6d20283,1,audit_of_agreement,,,,,
B1-MH-0255b6d20283,3,audit_of_agreement,,,,,
B1-MH-03b51326acae,1,audit_of_agreement,,,,,
B1-MH-03cfaa7e78c6,2,audit_of_agreement,,,,,
B1-MH-060223ba72f4,1,audit_of_agreement,,,,,
B1-MH-060223ba72f4,2,audit_of_agreement,,,,,
B1-MH-060cc1d31438,1,audit_of_agreement,,,,,
B1-MH-088695234e1a,1,audit_of_agreement,,,,,
B1-MH-08b80cb8cc0f,1,audit_of_agreement,,,,,
B1-MH-08b80cb8cc0f,2,audit_of_agreement,,,,,
B1-MH-08b80cb8cc0f,3,audit_of_agreement,,,,,
B1-MH-08c9673c1321,2,audit_of_agreement,,,,,
B1-MH-0af0da5770fc,1,audit_of_agreement,,,,,
B1-MH-0b9a8cb6d75b,1,audit_of_agreement,,,,,
B1-MH-0bdcc1036f62,1,audit_of_agreement,,,,,
B1-MH-0c64116439ba,1,audit_of_agreement,,,,,
B1-MH-0c69b8fdbe62,2,audit_of_agreement,,,,,
B1-MH-0d5e238015ef,1,audit_of_agreement,,,,,
B1-MH-0e1408df9ae0,1,audit_of_agreement,,,,,
B1-MH-0e1408df9ae0,2,audit_of_agreement,,,,,
B2-MH-10a673817f1b,1,audit_of_agreement,,,,,
B2-MH-1126297f39de,1,audit_of_agreement,,,,,
B2-MH-11b5dbe62ed4,1,audit_of_agreement,,,,,
B2-MH-124558122a92,2,audit_of_agreement,,,,,
B2-MH-12b9416cf2b0,2,audit_of_agreement,,,,,
B2-MH-12b9416cf2b0,3,audit_of_agreement,,,,,
B2-MH-15887f6a540a,1,audit_of_agreement,,,,,
B2-MH-166126f28949,2,audit_of_agreement,,,,,
B2-MH-166e026497b9,2,audit_of_agreement,,,,,
B2-MH-17280b83d56e,1,audit_of_agreement,,,,,
B2-MH-174076520f29,1,audit_of_agreement,,,,,
B2-MH-1771e46705cb,1,audit_of_agreement,,,,,
B2-MH-18e0906f3d85,2,audit_of_agreement,,,,,
B2-MH-1a91106d425c,1,audit_of_agreement,,,,,
B2-MH-1dd857e94826,1,audit_of_agreement,,,,,
B2-MH-201d810187ac,1,audit_of_agreement,,,,,
