item_id,claim_index,round,entailment,entailment_provenance,weight,relevance,relevance_provenance
B1-MH-05813c2fe535,3,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-05813c2fe535,4,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0e1408df9ae0,1,R2,unsupported,gpt_final_review_v3_accept,1.0,related,gpt_final_review_v3_blind
B1-MH-0e1408df9ae0,2,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B2-MH-14a3933e774b,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1431c0a43f40,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1431c0a43f40,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1431c0a43f40,3,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1431c0a43f40,4,R2,unsupported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B2-MH-1f82048d37f6,1,R2,unsupported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B1-MH-08c95043a751,1,R2,partial,model_consensus,0.0,answers,owner_rule_applied_v3_1
B1-MH-08c95043a751,2,R2,partial,model_consensus,0.0,answers,owner_rule_applied_v3_1
B1-MH-08c734d4eea9,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-08c734d4eea9,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-08c734d4eea9,3,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-03b51326acae,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-12b9416cf2b0,1,R2,supported,model_consensus,0.0,answers,owner_rule_applied_v3_1
B2-MH-12b9416cf2b0,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,owner_rule_applied_v3_1
B2-MH-12b9416cf2b0,3,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1b7cdf6be5ad,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1771e46705cb,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-060223ba72f4,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-060223ba72f4,2,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B1-MH-05ec4a12947a,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-03b7d00ee202,1,R2,supported,model_consensus,0.0,related,gpt_final_review_v3_blind
B1-MH-03b7d00ee202,2,R2,supported,model_consensus,0.0,related,gpt_final_review_v3_blind
B2-MH-1963e8b69161,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1963e8b69161,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1acbad14990a,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1acbad14990a,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1944708c2bb5,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0e1f6d12ec46,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0bee595f2413,1,R2,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0bee595f2413,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0bee595f2413,3,R2,unsupported,gpt_final_review_v3_accept,1.0,related,gpt_final_review_v3_blind
B1-MH-0c64116439ba,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-15887f6a540a,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-15887f6a540a,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1a900e0391d7,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1a900e0391d7,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1a900e0391d7,3,R2,partial,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B2-MH-1dd857e94826,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0c69b8fdbe62,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0c69b8fdbe62,2,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B1-MH-08a0f95f7a0f,1,R2,partial,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0bdcc1036f62,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-17aab942bfb4,1,R2,partial,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-114722edd549,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-114722edd549,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1126297f39de,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0952d9e73467,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0952d9e73467,2,R2,unsupported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B1-MH-0d5e238015ef,1,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B1-MH-024ac868f764,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-149f2c7b0691,1,R2,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-0fa911496c14,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-0fa911496c14,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-0fa911496c14,3,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-0fa911496c14,4,R2,partial,gpt_final_review_v3_accept,4.6,related,gpt_final_review_v3_blind
B2-MH-145cc8296d13,1,R2,supported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B1-MH-08c9673c1321,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-08c9673c1321,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0efa867faffe,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0fb5fdf6ee28,1,R2,supported,model_consensus,0.0,answers,owner_rule_applied_v3_1
B2-MH-17e563aaa33e,1,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B2-MH-17e563aaa33e,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-13ec6f42b956,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-13ec6f42b956,2,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-2237f5effc53,1,R2,supported,model_consensus,0.0,related,gpt_final_review_v3_blind
B2-MH-2237f5effc53,2,R2,supported,model_consensus,0.0,related,gpt_final_review_v3_blind
B1-MH-03cfaa7e78c6,1,R2,supported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B1-MH-03cfaa7e78c6,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-01e320e7e25f,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-088695234e1a,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-166126f28949,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-166126f28949,2,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B2-MH-189b425a1dab,1,R2,supported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B2-MH-174076520f29,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
