item_id,round,completeness,verdict_reading,provenance
B2-MH-10a673817f1b,R2,complete,yes,single_annotator_unreviewed
B1-MH-0af0da5770fc,R2,complete,no,gpt_final_review_v3_accept
B1-MH-0cc6140338ed,R2,complete,not_applicable,gpt_final_review_v3_accept
B1-MH-0ac962ffaee1,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-124558122a92,R2,complete,no,gpt_final_review_v3_accept
B2-MH-1cb0b245fa4e,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-11b5dbe62ed4,R2,complete,yes,single_annotator_unreviewed
B1-MH-0175090e1c35,R2,complete,no,gpt_final_review_v3_accept
B1-MH-0255b6d20283,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-060cc1d31438,R2,complete,no,single_annotator_unreviewed
B2-MH-18e0906f3d85,R2,complete,yes,gpt_final_review_v3_accept
B2-MH-1723c0aeb785,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-17280b83d56e,R2,complete,yes,single_annotator_unreviewed
B1-MH-012f1f51ac88,R2,complete,no,single_annotator_unreviewed
B1-MH-05813c2fe535,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-0e1408df9ae0,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-14a3933e774b,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-1431c0a43f40,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-1f82048d37f6,R2,complete,unclear,gpt_final_review_v3_accept
B1-MH-08c95043a751,R2,partial,unclear,gpt_final_review_v3_accept
B1-MH-08c734d4eea9,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-03b51326acae,R2,complete,yes,single_annotator_unreviewed
B2-MH-12b9416cf2b0,R2,complete,yes,gpt_final_review_v3_accept
B2-MH-1b7cdf6be5ad,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-1771e46705cb,R2,complete,no,single_annotator_unreviewed
B1-MH-060223ba72f4,R2,complete,yes,single_annotator_unreviewed
B1-MH-05ec4a12947a,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-03b7d00ee202,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-1963e8b69161,R2,complete,yes,gpt_final_review_v3_accept
B2-MH-1acbad14990a,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-1944708c2bb5,R2,complete,yes,single_annotator_unreviewed
B1-MH-0e1f6d12ec46,R2,complete,yes,single_annotator_unreviewed
B1-MH-0bee595f2413,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-0c64116439ba,R2,complete,yes,single_annotator_unreviewed
B2-MH-15887f6a540a,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-1a900e0391d7,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-1dd857e94826,R2,complete,yes,single_annotator_unreviewed
B1-MH-0c69b8fdbe62,R2,complete,no,single_annotator_unreviewed
B1-MH-08a0f95f7a0f,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-0bdcc1036f62,R2,complete,other_choice,gpt_final_review_v3_accept
B2-MH-17aab942bfb4,R2,complete,no,single_annotator_unreviewed
B2-MH-114722edd549,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-1126297f39de,R2,complete,yes,single_annotator_unreviewed
B1-MH-0952d9e73467,R2,complete,no,single_annotator_unreviewed
B1-MH-0d5e238015ef,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-024ac868f764,R2,complete,yes,single_annotator_unreviewed
B2-MH-149f2c7b0691,R2,complete,other_choice,gpt_final_review_v3_accept
B2-MH-0fa911496c14,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-145cc8296d13,R2,complete,yes,single_annotator_unreviewed
B1-MH-08c9673c1321,R2,complete,yes,single_annotator_unreviewed
B1-MH-0efa867faffe,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-0fb5fdf6ee28,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-17e563aaa33e,R2,complete,yes,single_annotator_unreviewed
B2-MH-13ec6f42b956,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-2237f5effc53,R2,complete,yes,single_annotator_unreviewed
B1-MH-03cfaa7e78c6,R2,complete,no,single_annotator_unreviewed
B1-MH-01e320e7e25f,R2,complete,not_applicable,single_annotator_unreviewed
B1-MH-088695234e1a,R2,complete,no,single_annotator_unreviewed
B2-MH-166126f28949,R2,complete,yes,single_annotator_unreviewed
B2-MH-189b425a1dab,R2,complete,not_applicable,single_annotator_unreviewed
B2-MH-174076520f29,R2,complete,no,single_annotator_unreviewed
